primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,duration_s,sw_col
abethr1,[],['song'],4.3906,38.2788,Turdus tephronotus,African Bare-eyed Thrush,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/128013,abethr1/XC128013.ogg,45.60978125,abethr1
abethr1,[],['call'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/363501,abethr1/XC363501.ogg,18.6775625,abethr1
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/363502,abethr1/XC363502.ogg,38.76571875,abethr1
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/363503,abethr1/XC363503.ogg,29.25715625,abethr1
abethr1,[],"['call', 'song']",-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/363504,abethr1/XC363504.ogg,42.3445,abethr1
abethr1,['rbsrob1'],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/379322,abethr1/XC379322.ogg,9.408,abethr1
abethr1,[],"['call', 'song']",-2.9965,37.6244,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/432639,abethr1/XC432639.ogg,25.392,abethr1
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467121,abethr1/XC467121.ogg,42.631,abethr1
abethr1,[],['song'],-4.0904,37.8807,Turdus tephronotus,African Bare-eyed Thrush,Peter Ericsson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/467122,abethr1/XC467122.ogg,20.688,abethr1
abethr1,[],"['adult', 'sex uncertain', 'song']",4.8403,38.6988,Turdus tephronotus,African Bare-eyed Thrush,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/531557,abethr1/XC531557.ogg,19.931,abethr1
abethr1,[],['song'],,,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/585802,abethr1/XC585802.ogg,19.464,abethr1
abethr1,"['eswdov1', 'helgui', 'rindov']",['song'],-2.8802,38.1861,Turdus tephronotus,African Bare-eyed Thrush,Sidney Shema,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/606253,abethr1/XC606253.ogg,24.267,abethr1
abethr1,[],"['adult', 'sex uncertain', 'song']",-2.9858,37.5975,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/616997,abethr1/XC616997.ogg,44.352,abethr1
abethr1,[],"['adult', 'call', 'sex uncertain', 'song']",-2.9858,37.5975,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/639039,abethr1/XC639039.ogg,34.0114375,abethr1
abethr1,[],[''],-3.1552,40.1326,Turdus tephronotus,African Bare-eyed Thrush,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://xeno-canto.org/756300,abethr1/XC756300.ogg,3.42203125,abethr1
abhori1,['combul2'],"['call', 'song']",-15.9259,29.0292,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/120250,abhori1/XC120250.ogg,38.00815625,abhori1
abhori1,['rindov'],"['call', 'song']",-15.9259,29.0292,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,https://www.xeno-canto.org/120251,abhori1/XC120251.ogg,65.9330625,abhori1
abhori1,"['blbpuf2', 'fotdro5', 'reedov1']",['song'],-5.7214,37.9942,Oriolus larvatus,African Black-headed Oriole,David Moyer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/127317,abhori1/XC127317.ogg,44.244,abhori1
abhori1,['fotdro5'],['song'],-5.7214,37.9942,Oriolus larvatus,African Black-headed Oriole,David Moyer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/127318,abhori1/XC127318.ogg,18.144,abhori1
abhori1,[],['song'],5.258,39.697,Oriolus larvatus,African Black-headed Oriole,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/128202,abhori1/XC128202.ogg,32.33959375,abhori1
abhori1,"['chibat1', 'grbcam1']",['song'],-2.034,37.38,Oriolus larvatus,African Black-headed Oriole,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,https://www.xeno-canto.org/132733,abhori1/XC132733.ogg,23.09225,abhori1
abhori1,['gycwar3'],['song'],0.064,32.479,Oriolus larvatus,African Black-headed Oriole,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/138433,abhori1/XC138433.ogg,24.9730625,abhori1
abhori1,[],['song'],-12.8302,27.9955,Oriolus larvatus,African Black-headed Oriole,Bob Planque,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/153687,abhori1/XC153687.ogg,35.47428125,abhori1
abhori1,[],['song'],-12.8302,27.9955,Oriolus larvatus,African Black-headed Oriole,Bob Planque,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/153688,abhori1/XC153688.ogg,62.56325,abhori1
abhori1,[],['song'],-12.8302,27.9955,Oriolus larvatus,African Black-headed Oriole,Bob Planque,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/153689,abhori1/XC153689.ogg,58.906125,abhori1
abhori1,[],['song'],-12.8302,27.9955,Oriolus larvatus,African Black-headed Oriole,Bob Planque,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/153690,abhori1/XC153690.ogg,57.41715625,abhori1
abhori1,"['afdfly1', 'rbsrob1']",['call'],-33.594,26.8969,Oriolus larvatus,African Black-headed Oriole,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/186252,abhori1/XC186252.ogg,61.08,abhori1
abhori1,[],['song'],-33.7115,26.3607,Oriolus larvatus,African Black-headed Oriole,Christoph Groenewald,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/188925,abhori1/XC188925.ogg,20.14040625,abhori1
abhori1,"['brosun1', 'ratcis1']",['song'],-0.4487,36.2639,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/195537,abhori1/XC195537.ogg,26.1746875,abhori1
abhori1,"['egygoo', 'eswdov1', 'rindov']",['song'],-13.0603,31.8094,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/196120,abhori1/XC196120.ogg,26.43590625,abhori1
abhori1,"['afghor1', 'rindov']",['call'],-6.7849,33.7788,Oriolus larvatus,African Black-headed Oriole,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/196760,abhori1/XC196760.ogg,7.1575625,abhori1
abhori1,['tafpri1'],['call'],-6.7849,33.7788,Oriolus larvatus,African Black-headed Oriole,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/196761,abhori1/XC196761.ogg,11.57225,abhori1
abhori1,[],['call'],-16.791,26.904,Oriolus larvatus,African Black-headed Oriole,Gabriel A. Jamie,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200588,abhori1/XC200588.ogg,53.6555,abhori1
abhori1,[],['call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200793,abhori1/XC200793.ogg,21.48,abhori1
abhori1,['vilwea1'],['call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/200797,abhori1/XC200797.ogg,50.904,abhori1
abhori1,[],['Display call'],-33.359,26.6199,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/200798,abhori1/XC200798.ogg,62.112,abhori1
abhori1,[],['call'],-6.7849,33.7788,Oriolus larvatus,African Black-headed Oriole,Thibaut Chansac,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/201222,abhori1/XC201222.ogg,38.68734375,abhori1
abhori1,['varsun2'],"['call', 'song']",-1.3677,36.7396,Oriolus larvatus,African Black-headed Oriole,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/205393,abhori1/XC205393.ogg,27.29796875,abhori1
abhori1,"['egygoo', 'norfis1']",['song'],-0.6675,36.3188,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/206017,abhori1/XC206017.ogg,37.7730625,abhori1
abhori1,['combul2'],['song'],0.0033,36.9454,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/239946,abhori1/XC239946.ogg,15.9869375,abhori1
