longitude,url,author,rating,time,type,filename,license,secondary_labels,all_labels,primary_label,latitude,old_filename,sample_rate,au_len,duration_s,sw_col,id
157.7389,https://www.xeno-canto.org/113693,Adria Sole,2.0,07:00,"['alarm call', 'not sure which kind of call']",comsan/XC113693.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,55.4649,comsan/XC113693.ogg,32000,280869,8.77715625,comsan,113693
47.3552,https://www.xeno-canto.org/133278,Albert Lastukhin,1.5,12:30,['call'],comsan/XC133278.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,56.1402,comsan/XC133278.ogg,32000,996415,31.13796875,comsan,133278
47.2639,https://www.xeno-canto.org/136220,Albert Lastukhin,3.0,14:30,['alarm call'],comsan/XC136220.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,56.0854,comsan/XC136220.ogg,32000,6136477,191.76490625,comsan,136220
47.2595,https://www.xeno-canto.org/139002,Albert Lastukhin,4.0,14:30,"['alarm call', 'call']",comsan/XC139002.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,56.0851,comsan/XC139002.ogg,32000,2190942,68.4669375,comsan,139002
46.4373,https://www.xeno-canto.org/139157,Albert Lastukhin,3.0,00:30,['call'],comsan/XC139157.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,55.171,comsan/XC139157.ogg,32000,3129678,97.8024375,comsan,139157
47.2594,https://www.xeno-canto.org/140115,Albert Lastukhin,3.5,12:30,"['alarm call', 'call']",comsan/XC140115.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,56.0848,comsan/XC140115.ogg,32000,3228317,100.88490625,comsan,140115
-1.3987,https://www.xeno-canto.org/142081,Bernard BOUSQUET,4.0,07:30,['flight call'],comsan/XC142081.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,43.5848,comsan/XC142081.ogg,32000,977189,30.53715625,comsan,142081
53.3778,https://www.xeno-canto.org/142393,Albert Lastukhin,2.5,22:30,['call'],comsan/XC142393.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,51.547,comsan/XC142393.ogg,32000,663719,20.74121875,comsan,142393
-0.4616,https://www.xeno-canto.org/144768,Bernard BOUSQUET,3.0,11:00,['flight call'],comsan/XC144768.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,43.4238,comsan/XC144768.ogg,32000,780748,24.398375,comsan,144768
10.9154,https://www.xeno-canto.org/146265,Buhl Johannes,4.0,08:30,['flight call'],comsan/XC146265.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,48.3447,comsan/XC146265.ogg,32000,343296,10.728,comsan,146265
98.649,https://www.xeno-canto.org/162544,Patrick Franke,4.0,06:02,['excitement call'],comsan/XC162544.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,48.719,comsan/XC162544.ogg,32000,445544,13.92325,comsan,162544
63.7592,https://www.xeno-canto.org/185023,Albert Lastukhin,4.0,18:30,['flight call'],comsan/XC185023.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,39.2962,comsan/XC185023.ogg,32000,283376,8.8555,comsan,185023
64.5245,https://www.xeno-canto.org/185086,Albert Lastukhin,3.5,05:30,['call'],comsan/XC185086.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,39.4715,comsan/XC185086.ogg,32000,619416,19.35675,comsan,185086
47.2613,https://www.xeno-canto.org/194057,Albert Lastukhin,4.0,11:00,"['alarm call', 'female']",comsan/XC194057.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,56.092,comsan/XC194057.ogg,32000,1488771,46.52409375,comsan,194057
30.0108,https://www.xeno-canto.org/215171,Jimmy Träskelin,5.0,05:00,"['alarm call', 'call']",comsan/XC215171.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,62.9683,comsan/XC215171.ogg,32000,4591104,143.472,comsan,215171
26.6607,https://www.xeno-canto.org/240497,Jarek Matusiak,4.5,19:00,"['call', 'flight call']",comsan/XC240497.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,51.4148,comsan/XC240497.ogg,32000,1444608,45.144,comsan,240497
25.3001,https://www.xeno-canto.org/25085,Niels Krabbe,3.5,xx:xx,"['call', 'song']",comsan/XC25085.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,[],[],comsan,64.9834,comsan/XC25085.ogg,32000,2099827,65.61959375,comsan,25085
130.692,https://www.xeno-canto.org/266356,Albert Lastukhin,3.0,06:00,['flight call'],comsan/XC266356.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,42.5275,comsan/XC266356.ogg,32000,309290,9.6653125,comsan,266356
130.692,https://www.xeno-canto.org/266357,Albert Lastukhin,4.0,15:30,['call'],comsan/XC266357.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,42.5275,comsan/XC266357.ogg,32000,300095,9.37796875,comsan,266357
24.4686,https://www.xeno-canto.org/277309,Eetu Paljakka,4.5,07:16,"['alarm call', 'call', 'song']",comsan/XC277309.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,60.1162,comsan/XC277309.ogg,32000,848457,26.51428125,comsan,277309
-8.0797,https://www.xeno-canto.org/279601,Agostinho Tomás,5.0,10:00,['call'],comsan/XC279601.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,39.1599,comsan/XC279601.ogg,32000,297587,9.29959375,comsan,279601
-6.1784,https://www.xeno-canto.org/283836,José Carlos Sires,4.0,?,"['call', 'female', 'male']",comsan/XC283836.ogg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,[],[],comsan,37.2072,comsan/XC283836.ogg,32000,1179481,36.85878125,comsan,283836
